# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.1

"chestopened::map_survivalgames4:-1.5,32.5,-3.5", boolean, 01
"chestopened::map_survivalgames4:-1.5,32.5,-1.5", boolean, 01
"chestopened::map_survivalgames4:-0.5,32.5,-4.5", boolean, 01
"chestopened::map_survivalgames4:-0.5,32.5,-0.5", boolean, 01
"chestopened::map_survivalgames4:1.5,32.5,-4.5", boolean, 01
"chestopened::map_survivalgames4:1.5,32.5,-0.5", boolean, 01
"chestopened::map_survivalgames4:2.5,32.5,-3.5", boolean, 01
"chestopened::map_survivalgames4:2.5,32.5,-1.5", boolean, 01
"chestopened::map_survivalgames4:64.5,77.5,-175.5", boolean, 01
"chestopened::map_survivalgames4:65.5,77.5,-175.5", boolean, 01
deathstatus::1, string, 800750726567616D65
deathstatus::890a7eb7-9dc4-4198-ac0f-f9249c50601e, string, 800750726567616D65
deathstatus::6664d4b0-5d5a-46a1-aa01-9c1dfddf849d, string, 800750726567616D65
deathstatus::ab43eee4-81b4-4a2f-905a-86f76e9bae6f, string, 800750726567616D65
deathstatus::cdf0cea8-7244-4347-b7ba-86b4168d3eff, string, 800750726567616D65
fly.ab43eee4-81b4-4a2f-905a-86f76e9bae6f, boolean, 01
freeze::itsjp, boolean, 00
freeze.6664d4b0-5d5a-46a1-aa01-9c1dfddf849d, boolean, 00
freeze.890a7eb7-9dc4-4198-ac0f-f9249c50601e, boolean, 00
freeze.ab43eee4-81b4-4a2f-905a-86f76e9bae6f, boolean, 00
freeze.cdf0cea8-7244-4347-b7ba-86b4168d3eff, boolean, 00
freeze.itsjp, boolean, 00
map_survivalgames4.midx, long, 0000000000000000
map_survivalgames4.midz, long, FFFFFFFFFFFFFFFE
maxplayers, long, 0000000000000018
maxpoints, long, 0000000000000019
minpoints, long, 000000000000000D
players.online, long, 0000000000000000
playersalive::1, string, 80054974734A70
spawn, location, 8605776F726C6480FF0000000181046E616D652080054C6F6262790178094070698435B645C60179094054C00000000000017A094043C3911F7BFA4C057069746368083FB09BAA0379617708C2B552F0
survivalgames::1, string, 80055347696431
survivalgames::<none>::votes::1, long, 0000000000000000
survivalgames::<none>::votes::2, long, 0000000000000000
survivalgames::<none>::votes::3, long, 0000000000000000
survivalgames::<none>::votes::4, long, 0000000000000000
survivalgames::false::votes::1, long, 0000000000000000
survivalgames::false::votes::2, long, 0000000000000000
survivalgames::false::votes::3, long, 0000000000000000
survivalgames::false::votes::4, long, 0000000000000000
survivalgames.currentmatchid::ab43eee4-81b4-4a2f-905a-86f76e9bae6f, string, 80055347696431
survivalgames.currentmatchid::cdf0cea8-7244-4347-b7ba-86b4168d3eff, string, 80055347696431
survivalgames.currentmatchid::sgid1, boolean, 00
survivalgames.hasvoted::890a7eb7-9dc4-4198-ac0f-f9249c50601e, boolean, 00
survivalgames.hasvoted::6664d4b0-5d5a-46a1-aa01-9c1dfddf849d, boolean, 00
survivalgames.hasvoted::ab43eee4-81b4-4a2f-905a-86f76e9bae6f, boolean, 00
survivalgames.hasvoted::cdf0cea8-7244-4347-b7ba-86b4168d3eff, boolean, 00
survivalgames.map_breezeisland.midx, long, 000000000000000F
survivalgames.map_breezeisland.midz, long, 0000000000000018
survivalgames.map_solarfrost.midx, long, FFFFFFFFFFFFFE73
survivalgames.map_solarfrost.midz, long, FFFFFFFFFFFFFAD2
survivalgames.map_survivalgames4.midx, long, 0000000000000000
survivalgames.map_survivalgames4.midz, long, FFFFFFFFFFFFFFFE
survivalgames.matchstatus::sgid1, string, 800750726567616D65
survivalgames.matchstatus::sgid<none>, string, 8006416374697665
survivalgames.maxplayers, long, 0000000000000018
survivalgames.playercount::sgid1, long, 0000000000000000
survivalgames.playercount::sgid2, long, 0000000000000000
survivalgames.playercount::sgid3, long, 0000000000000000
survivalgames.votingactive::sgid1, boolean, 00
survivalgames.worldmap::sgid1, string, 80106D61705F427265657A6549736C616E64
survivalgames.worldmap::sgid<none>, string, 80126D61705F537572766976616C47616D657334
vanish.ab43eee4-81b4-4a2f-905a-86f76e9bae6f, boolean, 00
yaml::file, string, 8026706C7567696E732F5061727279537572766976616C47616D65732F506C61796572732E796D6C

